author,message message
Sibusiso Kubeka,"you pay for a lawyer. they give you an illegal advice. they submit. you are liable for their advice. you get to face the night of the law. you pay them to defend you there this defying of summons by the gang shows that there is a collective that holds teleconferences and decide to act as the defiant movement. so now we have to see if My Mashaba has the mkmva in his hard clicking and marching waiting to defend him. or is Mr Mariana going to be at ENkandla to get the benefit of protection by the police when they execute their function to arrest him?
TheQueen V,mooooorning 😊😊😊 @Sal hey ❤️ @Teunis more my eie❤️ @Kubeka correct. The zuma faction orchestrated it all. "the chair has to little powers "@mahapa one is strong with our stolen money "@Sal hs might be father of the zulus we need a putin style president in these cases @Pastor 100% the bar is set so low that even the lawyers of this country is a joke yes advocate @melds do it girl @Kubeko they are busy with cr17 chair put your big foot down plz yes chair yes advocate more fire have him arrested "@Rubin lets make it 2 sizes to small so they can suffocate slowly @Music she is coming @Sal even a primary school can defeat mkmva @immanuel we will oblige if they so wish😂😂 @Kgabi hey my dear how are you😙 but chair how will you now see my messages 😂😂 @Kgabi no they asked for 2 years for the nkandla butternut @Previous haibo part time lover did he say so vrot? 😂😂😂 "@Andre even better @Previous 😭😭😭 bye @kgabi how will. they then loot @Stix 🤔🤔 i like this advovo i hope they will habe specialized court to deal with the chairs report and not dragg it on for yeara @Kgabi 😂😂😂😂👀👀👀👀 "@Stix is that what i get today @Mumbi they will deliver you one at elections time "@Phala we need thorough well prepared ones @Stix a man who is to busy for his woman hmmmmmmm🤔 anyhoooo enjoy @julie he will be criminally charhed5 "@Cyril gavin is not dead. Anyone who believes he is GAVIN WATSON IS NOT DEAD @Cyril did you really believe he is dead as in for real? @melds you make me proud😂 "what is the odds of someone dying the day before he testifies in a very weird accident @Kgabi ask! "@Lorna i block them "@Cyril he is living it up sowmwhere else Tito musy dare tell us that taxes will increase!!! "i wana make money bets with those who believes gavin is dead @Pastor you mean to enjoy the island his on @Naledi hey swty❤️ @Kevin yes elements in the hawks are very bad "the hawks should be renamed mr mtethwa to ""the budgies""" "@kevin exactly "@dude cool i think the things we as the citizens wants and needs should start trending "@dude cool you must be joking "@Mosia exactly. complete change. They drafted nonsens on their behalf BEE CANDIDATES @Cyril are you from South Africa? @dude cool like who? Lindiwe sisulu? @Cyril where in SA are you @dude it doesnt mean anything that she should piggy back off her fathers legacy. In the real world i cant go to my fathers employer and go expect a job just bevause5he worked there 40 years 🙄🙄🙄 @Cyril you are also in the beautiful mother city @Teunis who? @Pastor 😂😂 ask @Cyril Capetown @Stix i believe. it was the first city.. all others was created afterwards @Teunis when? @Ismail exactly did i hear VBS @melds thanx doll seems like i have catching up to do lunchtime 😊 @Pastor which pink parties? @Heather floyd shivambu VBS? Swi what? as @melds said Ausnotwell 😂😂 @Pastor feel free "haibo chair you are messing with the sequence @Pastor it was kind of a fashion trend amongst the cape flats u employed youth. I suppose to them they have nothing to lose. If you couls research cape flats you will cry. mostly colords there "@Pastor i know its funny to alot of people and personally i hate the front teeth fashion trend @SanFran hey oh how i missed your wisdom "@Sal SA no its not true "@Lerato i think you should avoid the word capture is bianca also from capetown? "ok leta not listen to the colored from capetown because her version is not juicy enough "@melds me to @Pastor carry on if it makes you happy @Bongani most of us are not R350 beneficiaries so data is not a problem😂 "@SanFran not at all @Kgabi 😂😂😂😂 you are not allright @Bongani 😂😂😂 thank you darling @Kgabi maybe i should visit my local library @melds what do they want to March for @Bongani thank you stando😌 @melds we wana do alot more then march 😲😲😲😲😲😲 @Kgabi😁😁😁😁😂😂😂they chow @Kgani like theres no tomorrow 😂 yasss chair "@Thabo 😂😂😂 tell mashaba we are going there even if he sends his trolls wow NPA most useless @Stix i agree😊 for the same reason they say dali is peoples advocate chair😲 :yougotthis: master Soni up again today @John yes and chair wants names today @melds they are withdrawing the leave to cross examine guns ans roses today @Stix ❤️😘 @Lesego no loitering here😁 @Diane hey swty❤️ so mashaba paid over 80million to anc🥴🥴🥴 eisj @Melds 😜😜😜haibo @lesego cant you wait for your R350 moruti goodmorminf imagine. if Jacob was reading that amount 😂😂😂eh eh eh @Pastor 😂today you can ask your contacts at the perly gates @Sal:yougotthis::yougotthis::yougotthis::virtualhug: @Gala my favorite @Sal always😉 @Teunis who? @Teunis maybe i 1 2 3 already because i dont see anyone misbehaving 😳😳😳😳 career criminals @Lerato no wonder he is pulling a zuma in the commission guys we are sleeping the way these people chow our moneys @Kgabi seems like south africans is a tolerant nation @Stix kakskelm "@Sal i think we must sleep in shifts!! while one group sleep i hope hawks is filling up petrol tanks to go knock on some doors today🙄 @Phumeza now they will say wmc invented this evidence we can build a dungeon for them to rot in "election time when these yellow tshirts comes to your house "i hear the some. of the womans league is also going to have tea at nkandla. Useless @Thabiso tjo batohi is MIA @Lerato they are trying to get out the closet agian. Bathabile is fine now that alcohol is no longer banned advovo cant wait to drop files😂😂📂📂
Stand for Truth with Khustaz,"From now onwards @styx I’m thinking he has the resources to fight in courts  Morning @Mali Mgoqi leadership 👊🏽👊🏽👊🏽 @melds now we know where to find him  @melds 😂😂😂😂😂 @Pastor J.J that Ntlemeza is a sellout and a hired gun. He didn’t deserve that position.  "@Pastor J. J I’m still convinced that the current Hawks leadership is infiltrated by sellouts
styx ndlovo,Does Auswell also have tin pot army Wonder if Zuma still thinks Zondo is his friend
Sibonelo Nene,hi everyone
Arthur Kona,"The problem is that there are no consequences "Once criminal behaviour was allowed during the 9 wasted years. Then the criminals got bolder
Jacqui Baumgardt,morning all More julle mense Zuma numbers I see the VBS liquidators are going after KPMG for R864mill "@melds melds - I am too "@Heather Durr - it all comes down to corporate greed. Take what you can
Val Speirs,"President Ramaphosa can pardon all these criminals including accused number one..Zuma The law enforcement that went to arrest Zuma at Nkandla had tea with accused number one instead of arresting him. GREED COMES BEFORE COUNTRY AND IT'S PEOPLE. frot with difficult..🤣 FROT IS FRAUGHT The Hawks are Fraught with Frot How is burning tyres and throwing stones of any assistance. Some people can be dumb ####'s. I bet all these Presidents wives have had to sign confidentiality agreements ..especially Zuma 😜 The Hawks were frot and fraught with compromise thanks to accused number one ZUMA. As useless as Number one. YOU CAN ONLY BE AS BAD AS YOUR LEADER . The billions found it's way to many comrade cadres accounts..Zuma has threatened to spill the beans on his fellow comrades. Including Saint Mandela "The NP could never have resorted to such low levels Lionel..absolutely hit the nail on the head I can understand why there was apartheid . South Africa would have gone down the tubes sooner than later. Pastor..you understand that what I am saying is that South Africa would have been another Zimbabwe earlier but it will become like Zimbabwe if the ANC remain in power. More taxation for taxpayers at 2pm to pay for all the ANC corruption 🤬 The Commission should appoint the British forensic auditor that investigated the Gupta paper trail. The NP Government had a healthy economy. Pastor I am an ex Rhodesian. I am an ex- Rhodesian
Chef Cee Gee,Those attorneys and legal representatives must be also held accountable as to why they are playing hardball. "Pastor jj  Fraught  "Not kankhuis "This old man is slow talking "So Gavin Watson is dead  "Valencia j  "Pastor jj  "Valencia j "So wat sons body was not identified ? Just asking  "Khan I "Kgabi "Thanks Valencia  Thanks Kgabi ... What next !  "Pastor jj  Why can't Interpol arrest the guptas ? What's the hold up here ?  Why can't Interpol arrest the guptas and extradite them ?  Thanx melds melds  "Stix Mtolo "Yes  Thanks Stix  "Cape Town  "And you  Thanks. Valencia orange st are the best  This state capture evidences are getting bigger and bigger and deeper .. How much more ? Scary stuff !  "Pastor jj  "Pastor jj  "Aw pastor Jj  "Stix  "If aggrizzibis arrested and he whistle blower and death threats against him  "Sal SA  Thanks Sal SA but why are the actual receivers still free .mim just curious as to what is next regarding to bossasa  Greetings pastor JJ  "Thanks Roza  Handling fee 8 million ? I think I'll become a govt official 
SD Gudunkomo,Melds what is treason? what is treasonous about not complying with the summons? Melds what is treason? @Melds lol. Mfundo Zuma akajikelanga umbuso but he didnt comply namasummons "Vodacom hasn't paid mr Makate as per Constitutional court ruling.ngabr lokho kungukujikela umbuso Mfundo nabelungu abanendaba nawe.its all politcs. Thabo that would be if they feel the justice system is not protecting their rights Melds how many black businesses that are in business with SOE.who is the biggest supplier of coal at Eskom since 1994? Pastor.thanks for letting me know😃 Zuma will be arrested but after 10years from now we still be in this conditions.not because of Zuma.but because the white establishment is gaining about our condition Tommygun benefiting Zuma captured the state with the Guptas controlling percent of coal supply contract white whites controlling 96%.
Letsatsi Mahapa,zuma supporters let's wait and see who is going to win at the end. DCJ and Cj both two are very strong 💪 let's wait and see 🇿🇦🇿🇦🇿🇦🇿🇦🙏🙏🙏 Thank you DCJ 🇿🇦🇿🇦🇿🇦🙏🙏
MK Nzuza,@Pastor jj well I think he is there as a commissioner/chairman more than as a judge. Pastor jj yes you are correct but those things he used to attend is nothing to do with the commission. @Mfubfo he is out on bail remember he paid R500k Why is he hiding?
S V 1,hopefully the cops will knock on Mr. Snot Well's door shortly ! should'nt the attorneys at least have the decency to appear and try to defend the no show ? @clive oconnell haha .. like bafana bafana .. can't kick snow off a rope the hawks told Zuma we've got this bad report .. he said .. shred it and have a cup of tea ! @dude cool that's like having a leaking boat .. you throw off the cargo to keep it afloat .. and ignore the leak ! how is it that to be a doctor / eng / architect etc. you need to study and attain a licence and is held accountable .. but the pres who is in charge of everything requires no schooling at all @dude cool but you still have the same crew as before just juggled around ? @Louis C a bit MINDLESS to spend time distilling a cheap wiskey like that don't you think ? why did they want Mashaba to testify before this guy ? Surely you first want to hear this & then grill Mashabo ? @Ismail Peterson and nothing has happened to Nomvula .. so we are the fools eish my guess .. the monies that came back to SA from Vosloo went straight to Lucky Montana's piggy bank @Kevin W 100% and check bank accounts he would also have received paper bags @Diane Louw agreed freeze bank acc. get what you can ! Unfortunately it's easy come easy go so most spent already on lavish holidays etc even if by some miracle the gov changes tomorrow .. the damage is done .. new gov will inheret bangkrupt soe's / no power / massive debt .. China will own us anyway .. sad Oscar is walking (excuse the pun) soon and that was cold blooded murder ! No justice !
Ndumie Ndlovu,Brian Molefe is still not here? 🤔 why ppl are forced to counter the allegations against them "Zondo he's failing to realise that this is not a court "those who are corrupt must be in Jail all of them Zuma if there was a transaction made and his implicated and he doesn't want to count it .. so what? make a finding because he was afforded an oppoturnity .. why criminalise ppl .. I don't get it you can't force people to answer questions.. it is wrong that the unconstitutional Court says people have no right to remain silence I don't get it honestly why ppl are forced to answer if they don't want to🤔👿 I believe Me Zondo is slowly but surely entering the political arena .. Brian Molefe is willing call him @Tommygun I don't know what you smoked but charge people criminally if you have evidence don't call them to this political slotter kangaroo commission A person must be afforded an opportunity to dispute the allegations against him or her before the findings are made but not to criminal charge people for simply refusing to answer @Tommygun this is politics here it not truth seeking commission... if was for the truth more white companies will be here appearing but no paint blacks as corrupt but not the looters of CR17 👿🇿🇦 "@Tommygun which state capture commission because the Judge will feel sick if you mention certain individuals like he did @lorna you've been brainwashed @Lorna Jesus once said how can demons cast the demon because they will multiply.. so don't tell me about UK @Lorna Kavanagh UK/USA they've done a lot of uspeakable things on this earth.. it corruption black people are doing it but when it others.. it called consultation fees and other fancy names Zondo is wasting time with all these nonsensical evidence ... bring real evidence with real people they are wasting time "@siyabonga mdluli Moonsamy Ranjeni hasn't been called Zondo is deliberately wasting time and money the head of NPA received more than R1million from CR17 according to leaks🤔 Ramaphosa 1st president to spend one term look how police handle coloured and blacks in Cape town for simple peaceful protest simple peaceful protest in Capetown but whites were protesting at the beach nothing was done can't you see what the Ramaphosa government is doing... criminalising darker skinned ppl if those were Whites they won't use force but because these coloured brothers and sisters are protesting they are being arrested.. whilst whites ppl never get any harsh treatment for breaking the laws @mfundo vele niyabathanda abelungu more than your own.. abelungu bamanupulater yonke into but we are so brainwashed we accept when whites are doing it .. we turn a blind eye
Rubin Naidoo,Looticians and racist have robbed us of being one of the most progressive countries in the world  "@ Valencia "@Valencia "@Barbara  Adv Soni has a long standing service in legal matters with an excellent track record. "@dude cool  Is Carl Niehaus on drugs ? "@ Andre  "@Andre  "@ Jenny "@Pastor JJ 
Walter Moloto,"@S V 1 indeed so the attorney was supposed to come with Mashaba to challenge this not to do a no show @Musa nothing on them as they are taking instructions from their client "@Melds remember the investigators contract have ended last year and some of them are now working for I D the NPA unit @Sal Sa CM 100 is a form to be completed by a company on statement of Affairs as required by The Company Acts
Thabo Daniel,everybody will refuse to go to commission to answer questions they followed on Zuma steps a constitutional delinquent kerby and carl niehaus will sent those platoons of fools mk to his gate to avoid the arrest I thought popo molefe finished ysterday but I saw him at the commission now the witness is coming with half info I dnt think it will help
Keith Fallick,Get his passport before the next Dubai flight 😂😂😂 Do you think the old soldiers will park outside his house for protection.😄😂😂
MUSA HLUNGWANI,What happens to advocates who are party to undermining the law in this fashion? 
MY DNA CHOICES.,"Mashba thinks that 500 billion makes him elite and above the law. Funny thing
Zweli Mkosana,what you guys expect from a man who had sex with his friend daughter whom he knew was HIV positive without using protection. what does that tell you. "@ melds not only that "David Mahlobo's silence is too loud how can an independent investigator be appointed by Hawks? and not by Prasa in this case @ sweetyboy the same zuma spent lot of money protecting the VLAKPLAAS NOTORIOUS KILLER EUGENE DE KOK who murdered cdes . I think Zuma is a spy zuma must explain to the masses of this country how Christ Hani was killed under his watch as he was the Head of ANC intelligence. how did he give all Tshonyane's details a day off all at once. that mashaba guy must be arrested in Hollywood style "Zweli Mkhize also recieved an amount of 6million from Edwin Sodi "since zuma always projects himself as he knows everything "lucky Montana "@ Elizabeth Jooste I agree with you "the guys who stole copper cables were sentenced each 1000 plus years in prison @ zip reeper black what???😂😂😂 yeah they look alike
Santa Kriel,hi everybody 👋 @Zweli Mkosana one of the saddest stories. and the way she was shunned... by people who blindly followed zuma. with no regard for her thank you for my rose @Theunis van Ree thank you for my rose @Theunis van Ree @Pastor J.J Mahatma Gandhi also said that one can measure how civilized a nation is by the way it treats animals. a wise man "i am going to ask thankyou @melds melds thanks @Theunis van Ree aaaaahhhhwwww DA...
Mpho Kubeka,"if I may ask beautiful people
David Heunis,"I see the law only applies to some
Andre Gerber,so Butternut's friend decided not to come thank you DCJ ".@Valencia J with the orange overalls 2 sizes smaller the family jewels will end up in there throats no need for suffocation  @Mfundo the mansion in the market "After the commission report and criminal charges is pushed they will have to appear in court the ANC and EFF supporters must have a look at Big Daddy Liberty on youtube and wake up what's going on @Rubin Naidoo and cheap drugs too @Rubin Naidoo creeping a.s . Wants to hear his own voice in a PEP store uniform @Rubin Naidoo 😂😂😂😂😂😂😂😂 "I see SASSA stop the payment of Bathabile Dlamini""s pension  Hey Zumanites go camp with the MK and Kkhuis K.Khuis @Pastor J.J sorry forgot the fullstop between the k's "@melds melds they don't listen  hope Mashaba is listening "@Kevin W if Gerrie Nel was given the mandate  2 days ago Zuma said in interview SA law to soft on criminals 
Owen Nyilika,Mr Zondo do yo job please yes chair arrest them all mr zondo loots of billion wasted in prasa our tax money no trains today between jhg and germiston line becouse of mr mashaba  hawks a sleeping to this case @Tommygun anc get r80 million from mashaba @Valencia J hawks most useless "@nkosingiphile ndlovu is the company of mr mashaba get tender in prasa r3 mr aggrizi have no political connection in anc yes guy see also people connected to anc not arrested until today @Lorna Kavanagh anc kill the scopion
Xpressive Music,chaos has begun eh where is Lerato today? ke nako ya plate we need a discord server plate e fedile shalom "lol how fitting ""siyangena technologies"" lol" they still use lever files
Pheladi Lamola,They just want to frustrate the DCJ and this process. Eish don't remind me @Mfundo. But I told you I disowned him akere. It's Adv Soni @Santa Kriel. That's all I know about him. Probably sleeping @Rahab Takalo. That man should never have been president.
Kgabi Nyao,chaos has begun indeed ndumie ndlovu take your meds you're speaking dumm hey valencia im very well valencia itumeleng mosala is asking for 4 and a half becasue he defied for five days Whitewaves i wonder if the EPWP cant built the prisons themselves instead of tendering lo eish theres no solution ne valencia is te star of this chat we need awrds for her Jenny that is when we will see staff reduction  ALWAYS I DONT BLIEVE HE DIED TRUE YEA AND THEY SAID HE WAS ENROUTE TO AIRPOT BUT NO ONE INVESTIGATED IF HE HAD FLIGHT BOOKINGS YOU CAN ASK AGAIN 2019 I USED TO USE THE LIBRARY WIFI FOR THIS  I TELL U "you have to live close to it lol may i march for june hehehe lolll i march because june is not my favorite month pastor maboko mass meetings are not allowed by covid true Lionel saftu has made cosatu irrelevant  ya ei that company mfundo its always these companies with silly names that take our money ei those things eat m oney yong lol eish Mfundo and we still havent conquered apartheid yet now this fight added @Valencia J lol how melds me;ds instead they wrote their own history @Mfundo  "@melds melds yes the formal existence of it i hate that whiskey Louis \ i fell on my forehead drinking that @Louis C  @C S asikhulumi kanjalo ngomlungu wena hey zaxoshwa we ae sleeping indeed Govender i read that article yesterday @Valencia J id say a blind nation @Valencia J lollll @melds melds beauty of SIU is theyll sell all your staff shes like deputy pres lol ur right @Lee D. Hendrix  @Derek Govender not couple but one aunti so he called her @Derek Govender isnt it one woman and the co is digital vibes but she is not listed as anything in the co bt was a paid consultant when she was serving in zwelis ministry both in cogta and nw in helth "wherever he was boss yes@Derek Govender  she still advices him now in helth@Derek Govender  true @Lerato Moleke  lucky montana@Cedric Molefe  she say vetkoek aunty lolll @Zweli Mkosana its like a snake with many heads dont play around with hiv some people have it
Nicolas Cocolas,Curious if DCJ Zondo would still vote ANC if we had elections ...
Fred Desrosiers,BOOM !! VIVA ANTI CORRUPTION! VIVA! "And
Immanuel,"jz setting precedence "i guess Edward zuma will have a press conference today in defence of mr mashaba im this regarding mkmv might as well kill themselves before jz is arrested😅😅😅 "what message is our country sending out to the world when politicians/ famous are accused of wrongdoing another tea break?
corrie ferreira,môre almal môre julle almal
Previous Nkopodi,@Valencia J How are you my QUEENV😘 @Lerato Moleke Lekae Mama @melds melds Hala @Sal SA HALA @Pastor J.J Brother @Valencia J Today i've got a Class 11h00 and Audit by 14h00... eish 🙄 "Bye guys @Stix Mtolo  O xap mkanami? @melds melds Are you gud sweetie @zip reeper Lol 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 @melds melds What is that dear? Hao @Diane Louw How r u doing? @melds melds  Am well thanks brother "Heban...But why hey It's for the last time 😘 kiss back & do not pull out fast @Diane Louw  @Lerato Moleke Kgaetjedi
William Pieters,Orange overhale tenders are out now. 
Lerato Moleke,@Xpressive M - am watching chats but in a work meeting  Am ok @Previous "Howdy @Teunis @Dude cool - expect anything from Tito this country is a horror movie  "@mfundo my mate "@Louic C Work’s crazy but I’ll survive @Louis C dearest  "@Louis C "Hey @Danile "Hahaha @Valencia Happy Wednesday @Bongani G @Bongani G - it’s “country duty” and wifi is uncapped  "Eish @Maritime S "Yeeyii @Stix "Greetings All. @Diane you were right "@Heather Howdy y'ALL "Yhoo "Jeeer @Valencia Greetings @Teunis 😊 @Valencia - is WL still relevant? """Arranged"" tenders prices are ALWAYS inflated DCJ "DCJ ""homework"" was done and price had to cover international holidays @14nateg - SAPS is BUSY collecting bribes from the guys vandalizing PRASA infrastructure  These auditors were everywhere like a pandemic  Greetings @Previous  "@Diane "O stout @Melds🤣 Howdy @Naledi bright star 🌟 "@Roza E @Maboko 😅😂 o stout  "@Sal SA Heya @Antoinette 
dude cool,who is on trail? 😂🤣 "@NdumieNdlovu I agree with you 100% "@Mfundo and @RubinNaidoo thank you for agreeing with me. SA will never be a great power "we have friends in Turkey and they canceled their Netflix account @Mfundo they mustn't increase any sort of tax we are suffering. Many people lost their jobs due to the lockdown @LeratoMoleke this country is indeed a horror movie😭 @Mfundo 😭😭😭 "I see the DA is now live with a new campaign video on YouTube with the name ""What's in the government's budget for me"" 😭😭😭😭😭😭" Numbers will never be a politician's friend. if they did this meeting with Zoom or Skype then tax money would be safe @LouisC I think so he got his matric results yesterday and he didn't mention anything about university what will the trend be for today. #Allthepoliticalpartiesmustfall we need Minister Lindiwe Sisulu as our President and Minister Angie Motshekga or Minister Naledi Pandor as Deputy President @ValenciaJ I agree with you 100%😁 @Mfundo aren't you mistaken with Lindiwe Zulu "@fieliesSA Yes "@LouisC yes John Steenhuisen must go. I supported him @ValenciaJ Minister Lindiwe Sisulu's father was a freedom fighter and she has the leadership to be president @SV1 we are already in a leaking situation all the cargo has been thrown in the sea and only a true leader can stop the leak "@MaritimeStudies "their are other also other great candidates such as Minister Nkosazana Dlamini-Zuma
Jenny Whitewaves,"we will be needing several more prisons to be built soon @Kgabi Nyao EP WP?? don't know this acronym @Kgabi Nyao thanks may be we put the guilty to work building for themselves rather than sitting eating watching Tv  @Teunis van Ree thanks  Please WMC is a made up term it NEVER existed it was used to deflect by the audit firm I forget the name In court in Uk they admitted it @Tommygun I agree some previously advantaged by the apartheid gov got a head start on black firms but that has been evened out by 25 years of black empowerment should not be used as blanket excuse  After hearing yesterday;s example do we need any ministers She certainty would not be missed @Th @Teunis van Ree the 2nd  I think the investigation was stopped when money went to The Zuma Foundation If continued it would have been an entry into what was happening to money in the Foundation @Stix Mtolo Tito stopped all but to the land bank yesterday  Very tough laws re bribes in the EU Vosloo must be trembling 
Peter Lukas,Mr Sonny is opdrijf
f_society,Vrot Sop 
Louis C,Zondo says criminal charges must be brought against Mashaba as a matter of urgency....what's been done about Zuma? @Stix Mtolo .. and judgment will be reserved Will Steenhuisen take a gap year before he goes to Varsity? "@Lerato Moleke Hi. Always my Angel @Naledi Barron Likewise @Lerato Moleke All work and no play.... @Lerato Moleke 😅 @S V 1 😅 @dude cool Like we need a hole in the head A senior break @Pastor J.J Hi wena stout Padre! @SanFran Arnold Hi Bi. Long time "@SanFran Arnold Very true. Anyway  @Pastor J.J 😅😅 stop it @Pastor J.J Passion comes out Fashion without the front teeth "@Pas Some of the best things come from CT. Do you know Abdullah Ebrahim @melds melds Goes without saying😀 "@Ismail Petersen Never met him but was fortunate to see him live "@Ismail Petersen Awesome. Did you know Taliep @SanFran Arnold is it true that the comm has been granted another extension? @SanFran Arnold Ta "@melds melds What's with the color issue @S V 1 I don't drink whiskey but I thought it was a blend. More of a Rum person if I' honest "@Kevin W Why are so many people under the misconception that Nel is this legal mastermind @Riaan DW Wow! Food for thought @Gugulethu Xhosans Advocate X @Gugulethu Xhosans Classified Hi@Stix Mtolo  @S V 1 🤭🤭
A K Silamuddin,Freeze the bank accounts Agrizza/ Watson / cigarette tycoon etc took the ANC for a ride
Belinda Stiging,vrot! like his integrity is vrot
Lorna Kavanagh,Do these people realise they are wasting taxpayers money by not appearing... the commission is funded by taxpayers. What happened to the tall trains ? Rustong somewhere ? Karl Kakhuis is outraged that the commission has asked the concourt to put xuma in prison. "Some of the chats here reflect an alarming lack of common sense WMC and RET are just propaganda invented by Pottinger. Pastor JJ .. i love your humour. Ndumie ... i have not been brainwashed. The courts in the UK descredited Bell Pottinger. Follow the dots ...... Ndumie ... please just read the history ! Mashaba .... I still want to know what happened to the TALL trains ? First Zimbabwe failed state ⏩ and then South Africa. Always on my mind sung by the late great Elvis Presley.. Advocate Kate Hofmeyer has finished herAviation workstream John Everitt ... Sacks is coming back when the commission can fit him in. Romelu .. you are right Time to hold people accountable. What i can't understand is why the DoH hasn't used all 80 000 doses by now .... this is unacceptable. The NPA needs to show SA what it is doing ...
Barbara Sattler,Arrest the Hawks Tyres burning and throwing stones yesterday in Port Elizabeth.
Gugulethu Xhosans,@Cyril Gronemeyer what is a kankhuis @Martha Sello a forensic accountant who worked for Werksman @Martha Sello his mame is Ryan I have my suspicions that the hawks were bought as well Who is speaking now? @Louis C Advocate X? representing who? 1 505 000 878.90 :dothefive:qu
Junior Mancinza,Ndumi please explain to me why Pesident Ramaphosa must go to jail? Montana was in charge
Koena Boity Sherif,@Valencia J same here he inspires me too much
Mumbi banda,someone lend me an ANC regalia
Richard Peffer,"Carl Sonderhuis
Phala Makgoropane,we need active evidence leaders
Nkululeko Ngwenya,Mr Tea
Julie Petersen,morning everyone. just saw the end. Did dcj say anything about Mashaba not pitching @valencia Thanks sweety. yes I'm happy to hear that morning everyone @melds So true "@melds And they out within a couple of years @Diane was thinking the same thing
MIKE DURBAN,Howdy All..........Adv Soni.........well dine Sir......... GULILTY....GUILTY......GUILTY.......... The Commie ANC/Eff....supported Zumatjie all the way............ Karl (AK 47)..........heheheh...has been Commando of useless MK.............true ne... Yeeeah...Zumarites.........catch a listen......... Hehehe......the Zumarites must be shacking in their boots right now because of the juicy info about to come out etc.......heheheheheheheheheh @Val Speirs .....Take away their ......privileges.......and they sing like........budgies.......heheheh "The ""Founding Fathers""...found the ""Mother City""........heheheh" @Ndumie Ndlovu .......Yooooah.......what kind are you Bra......that's a lot of bulldust....ne Well...with all the crap and corruption going on.......don't trust any of 'em............ @Ndumie Ndlovu ....Shame Bra......sounds like you got braniwashed or something.......... and beware......The Eides Of March.......... @Pastor J.J ....Aaaay...it's lekker to march and toyi toyi.....and sing and dance...........we are moss a happy nation.........heheheheheheh....... Let's go for it Bro.........heheheheh....but bring the gas mask............(the SAPS like to play with teargass).....heheheheh And if you are gassed up......it's the SAPS fault ok........ @melds melds .....Hheheheheheh........lekker free shower an all............ @melds melds .......Oh...damn........I new it.....heheheheh @Lorna Kavanagh .....And why........there's only one answer etc............. @Lorna Kavanagh ....let's just face it....the answer is...the CappiCommie ANC........facts........ @Ndumie Ndlovu .........shame...yes....you really are brainwashed.........and take off you very ...dark sunglasses........ne @Val Speirs .......The CappiCommie dumbo's will never ever necognise that.........they can never do wrong etc etc.......
Thami Mak'nyiwe Mhlanga,"this commission is driving one sided agenda with deep interests. no interest we didn't ask for this. someone who lost the government money asked for this and got old cows and cowards to do his dirty work. this commission is a waste of resources and expensive. we have spent "billions for few Rands when trillions still need to be investigated. the public wants Reserve Bank "but be ause we are not rich "arrests are factionalised "@melds Melds
mopeli moshoeshoe,"Thami
STEVEN REDDY,Anyone going to have tea at zumas  Goku  ehmm lol whats dragon ball doing in here 
summer de nobrega,@Jenny Whitewaves. youre 100%correct. Bell Pottinger in London hired by the Guptas and JZuma to cause racial devision
Sebakahle Simelane,The money is gone they bought Porsches and properties
Ismail Petersen,Hi somebody has said gavin is on a yacht out in the caribbean. Figure it out fellow law-abiding citizens. Nothing is impossible. "It could be pastor Interpol will 1st be invited for lunch @ the guptas in dubai or abu dhabi & have the gupta curry & be infected. Nothing will happen after that. The RET group is gonna create serious havoc in this country. They are a bunch of fools & the anc is allowing that. "They Youll be getting a pink panty & pink overall in cape town. Its also to improve their french kissing techniques. "Louis C I was administrating his M7 international music academy in the cape town city hall. For your information. "The late taliep's grand-father & my grand-father were family. Jonathan ""jompas"" as he was known "Hi fellow law-abiding s a citizens. Isnt this disgusting "Let us just go back "But how does those corrupt ppl sleep at night "Salsa the president & corrupt ajc doesnt have the guts & political will to sort this out. Theyre all on the same boat "What in a case of them floor-crossing to other parties & to contaminate them. Jimmy manye started his own party "Bee was the opening door to corruption. Its was a total disaster "Lucky montana has to appear on this commission
clive oconnell,Cabinet ministers are the only growth in 🇿🇦 "Ministers
Bryte Sunshine,that minister was crap. I won't miss her. She was playing ball for the powers that were.
Herb Tuck,Gupta’s took you for a ride AK
siyabonga mdluli,RET gang must be having lots and lots of redbull at their disposal. Unrelentingly misplaced energy The hawks thought he was incompetent @mfundo he did his work with aplomb and was then not given more I Miss Thabo Mbheki with his strong leadership.  .6 billion rands per person? @Tommygun sad state of affairs "@Ndumie Ndlovu what real evidence are you referring to? if a car was bought
Eddie Reddy,"the RET forces of Free State "with Carl leading RET
Lucky Mtshali,conditions previously and present in other countries..Haiti..Jamaica..Granada..Mauritius..Madagascar Austria Australia in question ti the commission angle globally inclusions
Martha Sello,who is this guy on the stand guys? @Gugulethu thanks @Gugulethu don't know one of attorneys not sure represents who @Zweli haaibo😂😂😂
